id,herramienta,severidad,identificador_tecnico,hallazgo,control_iso27001,objetivo_cobit,tipo_deficiencia,evidencia,estado_revision
S04-0016,Docker Bench,Alta,CIS Docker,* Container running without CPU restrictions: si084_db,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0017,Docker Bench,Alta,CIS Docker,* Container running without CPU restrictions: si084_dvwa,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0018,Docker Bench,Alta,CIS Docker,* Container running without CPU restrictions: si084_juiceshop,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0019,Docker Bench,Alta,CIS Docker,* Container running without CPU restrictions: si084_portal,A.8.20 Networks security,DSS05.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0020,Docker Bench,Alta,CIS Docker,* Container running without CPU restrictions: si084_simplerisk,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0021,Docker Bench,Alta,CIS Docker,* Container running without CPU restrictions: si084_srdb,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0022,Docker Bench,Alta,CIS Docker,* Container running without CPU restrictions: si084_wpdb,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0023,Docker Bench,Alta,CIS Docker,* Container running without memory restrictions: si084_db,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0024,Docker Bench,Alta,CIS Docker,* Container running without memory restrictions: si084_dvwa,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0025,Docker Bench,Alta,CIS Docker,* Container running without memory restrictions: si084_juiceshop,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0026,Docker Bench,Alta,CIS Docker,* Container running without memory restrictions: si084_portal,A.8.20 Networks security,DSS05.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0027,Docker Bench,Alta,CIS Docker,* Container running without memory restrictions: si084_simplerisk,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0028,Docker Bench,Alta,CIS Docker,* Container running without memory restrictions: si084_srdb,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0029,Docker Bench,Alta,CIS Docker,* Container running without memory restrictions: si084_wpdb,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0030,Docker Bench,Alta,CIS Docker,* Docker daemon currently listening on TCP without TLS,A.8.24 Use of cryptography,DSS05.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0031,Docker Bench,Alta,CIS Docker,* Health check not set: si084_db,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0032,Docker Bench,Alta,CIS Docker,* Health check not set: si084_dvwa,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0033,Docker Bench,Alta,CIS Docker,* Health check not set: si084_juiceshop,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0034,Docker Bench,Alta,CIS Docker,* Health check not set: si084_portal,A.8.20 Networks security,DSS05.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0035,Docker Bench,Alta,CIS Docker,* Health check not set: si084_srdb,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0036,Docker Bench,Alta,CIS Docker,* Health check not set: si084_wpdb,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0037,Docker Bench,Alta,CIS Docker,* MaximumRetryCount is not set to 5: si084_db,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0038,Docker Bench,Alta,CIS Docker,* MaximumRetryCount is not set to 5: si084_dvwa,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0039,Docker Bench,Alta,CIS Docker,* MaximumRetryCount is not set to 5: si084_juiceshop,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0040,Docker Bench,Alta,CIS Docker,* MaximumRetryCount is not set to 5: si084_portal,A.8.20 Networks security,DSS05.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0041,Docker Bench,Alta,CIS Docker,* MaximumRetryCount is not set to 5: si084_simplerisk,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0042,Docker Bench,Alta,CIS Docker,* MaximumRetryCount is not set to 5: si084_srdb,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0043,Docker Bench,Alta,CIS Docker,* MaximumRetryCount is not set to 5: si084_wpdb,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0044,Docker Bench,Alta,CIS Docker,* No AppArmorProfile Found: si084_db,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0045,Docker Bench,Alta,CIS Docker,* No AppArmorProfile Found: si084_dvwa,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0046,Docker Bench,Alta,CIS Docker,* No AppArmorProfile Found: si084_juiceshop,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0047,Docker Bench,Alta,CIS Docker,* No AppArmorProfile Found: si084_portal,A.8.20 Networks security,DSS05.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0048,Docker Bench,Alta,CIS Docker,* No AppArmorProfile Found: si084_simplerisk,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0049,Docker Bench,Alta,CIS Docker,* No AppArmorProfile Found: si084_srdb,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0050,Docker Bench,Alta,CIS Docker,* No AppArmorProfile Found: si084_wpdb,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0051,Docker Bench,Alta,CIS Docker,* No Healthcheck found: [[IMAGEN_PRIVADA_REDACTADA]],A.8.6 Capacity management,BAI04.01,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0052,Docker Bench,Alta,CIS Docker,* No Healthcheck found: [bkimminich/juice-shop:latest],A.8.6 Capacity management,BAI04.01,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0053,Docker Bench,Alta,CIS Docker,* No Healthcheck found: [mariadb:11],A.8.6 Capacity management,BAI04.01,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0054,Docker Bench,Alta,CIS Docker,* No Healthcheck found: [mcr.microsoft.com/mssql/server:2022-latest],A.8.6 Capacity management,BAI04.01,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0055,Docker Bench,Alta,CIS Docker,* No Healthcheck found: [postgres:15],A.8.6 Capacity management,BAI04.01,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0056,Docker Bench,Alta,CIS Docker,* No Healthcheck found: [postgres:16],A.8.6 Capacity management,BAI04.01,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0057,Docker Bench,Alta,CIS Docker,* No Healthcheck found: [projectdiscovery/nuclei:latest],A.8.6 Capacity management,BAI04.01,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0058,Docker Bench,Alta,CIS Docker,* No Healthcheck found: [si084/lynis:official],A.8.6 Capacity management,BAI04.01,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0059,Docker Bench,Alta,CIS Docker,* No Healthcheck found: [ubuntu:22.04],A.8.6 Capacity management,BAI04.01,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0060,Docker Bench,Alta,CIS Docker,* No Healthcheck found: [vulnerables/web-dvwa:latest],A.8.8 Management of technical vulnerabilities,DSS05.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0061,Docker Bench,Alta,CIS Docker,* No Healthcheck found: [wordpress:latest],A.8.6 Capacity management,BAI04.01,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0062,Docker Bench,Alta,CIS Docker,* No SecurityOptions Found: si084_db,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0063,Docker Bench,Alta,CIS Docker,* No SecurityOptions Found: si084_dvwa,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0064,Docker Bench,Alta,CIS Docker,* No SecurityOptions Found: si084_juiceshop,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0065,Docker Bench,Alta,CIS Docker,* No SecurityOptions Found: si084_portal,A.8.20 Networks security,DSS05.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0066,Docker Bench,Alta,CIS Docker,* No SecurityOptions Found: si084_simplerisk,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0067,Docker Bench,Alta,CIS Docker,* No SecurityOptions Found: si084_srdb,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0068,Docker Bench,Alta,CIS Docker,* No SecurityOptions Found: si084_wpdb,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0069,Docker Bench,Alta,CIS Docker,* PIDs limit not set: si084_db,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0070,Docker Bench,Alta,CIS Docker,* PIDs limit not set: si084_dvwa,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0071,Docker Bench,Alta,CIS Docker,* PIDs limit not set: si084_juiceshop,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0072,Docker Bench,Alta,CIS Docker,* PIDs limit not set: si084_portal,A.8.20 Networks security,DSS05.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0073,Docker Bench,Alta,CIS Docker,* PIDs limit not set: si084_simplerisk,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0074,Docker Bench,Alta,CIS Docker,* PIDs limit not set: si084_srdb,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0075,Docker Bench,Alta,CIS Docker,* PIDs limit not set: si084_wpdb,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0076,Docker Bench,Alta,CIS Docker,* Privileges not restricted: si084_db,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0077,Docker Bench,Alta,CIS Docker,* Privileges not restricted: si084_dvwa,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0078,Docker Bench,Alta,CIS Docker,* Privileges not restricted: si084_juiceshop,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0079,Docker Bench,Alta,CIS Docker,* Privileges not restricted: si084_portal,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0080,Docker Bench,Alta,CIS Docker,* Privileges not restricted: si084_simplerisk,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0081,Docker Bench,Alta,CIS Docker,* Privileges not restricted: si084_srdb,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0082,Docker Bench,Alta,CIS Docker,* Privileges not restricted: si084_wpdb,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0083,Docker Bench,Alta,CIS Docker,* Running as root: si084_db,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0084,Docker Bench,Alta,CIS Docker,* Running as root: si084_dvwa,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0085,Docker Bench,Alta,CIS Docker,* Running as root: si084_portal,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0086,Docker Bench,Alta,CIS Docker,* Running as root: si084_simplerisk,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0087,Docker Bench,Alta,CIS Docker,* Running as root: si084_srdb,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0088,Docker Bench,Alta,CIS Docker,* Running as root: si084_wpdb,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0089,Docker Bench,Alta,CIS Docker,* Wrong ownership for /var/run/docker.sock,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0090,Docker Bench,Alta,CIS Docker 1.1,1.1 - Ensure a separate partition for containers has been created,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0091,Docker Bench,Alta,CIS Docker 1.5,1.5 - Ensure auditing is configured for the Docker daemon,A.8.15 Logging,DSS01.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0092,Docker Bench,Alta,CIS Docker 1.6,1.6 - Ensure auditing is configured for Docker files and directories - /var/lib/docker,A.8.15 Logging,DSS01.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0093,Docker Bench,Alta,CIS Docker 2.1,2.1 - Ensure network traffic is restricted between containers on the default bridge,A.8.20 Networks security,DSS05.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0094,Docker Bench,Alta,CIS Docker 2.11,2.11 - Ensure that authorization for Docker client commands is enabled,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0095,Docker Bench,Alta,CIS Docker 2.12,2.12 - Ensure centralized and remote logging is configured,A.8.15 Logging,DSS01.03,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0096,Docker Bench,Alta,CIS Docker 2.14,2.14 - Ensure live restore is Enabled,A.8.13 Information backup,DSS04.07,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0097,Docker Bench,Alta,CIS Docker 2.15,2.15 - Ensure Userland Proxy is Disabled,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0098,Docker Bench,Alta,CIS Docker 2.18,2.18 - Ensure containers are restricted from acquiring new privileges,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0099,Docker Bench,Alta,CIS Docker 2.6,2.6 - Ensure TLS authentication for Docker daemon is configured,A.5.17 Authentication information,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0100,Docker Bench,Alta,CIS Docker 2.8,2.8 - Enable user namespace support,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0101,Docker Bench,Alta,CIS Docker 3.15,3.15 - Ensure that Docker socket file ownership is set to root:docker,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0102,Docker Bench,Alta,CIS Docker 4.1,4.1 - Ensure a user for the container has been created,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0103,Docker Bench,Alta,CIS Docker 4.5,4.5 - Ensure Content trust for Docker is Enabled,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0104,Docker Bench,Alta,CIS Docker 4.6,4.6 - Ensure HEALTHCHECK instructions have been added to the container image,A.8.6 Capacity management,BAI04.01,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0105,Docker Bench,Alta,CIS Docker 5.1,5.1 - Ensure AppArmor Profile is Enabled,A.8.9 Configuration management,BAI10.02,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0106,Docker Bench,Alta,CIS Docker 5.10,5.10 - Ensure memory usage for container is limited,A.8.9 Configuration management,BAI10.02,Diseño,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0107,Docker Bench,Alta,CIS Docker 5.11,5.11 - Ensure CPU priority is set appropriately on the container,A.8.9 Configuration management,BAI10.02,Diseño,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0108,Docker Bench,Alta,CIS Docker 5.12,5.12 - Ensure the container's root filesystem is mounted as read only,A.8.2 Privileged access rights,DSS05.04,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
S04-0109,Docker Bench,Alta,CIS Docker 5.14,5.14 - Ensure 'on-failure' container restart policy is set to '5',A.8.6 Capacity management,BAI04.01,No seleccionado; ver PT04_diseno_vs_eficacia.md,20_evidencia/E04_config/docker-bench.log,Revisado contra criterio PT04
